No;Text;Author
1;Bajet 4 jt,bagusnya beli hp apa saya suka cuma merk xiaomi;Kampung Petani
2;Lawak, hp xiaomi sllu direkomendasi lbh dri satu, padahal software xiaomi itu parah, UI nya buruk. Makanya bnyk masalah, bug, frame gk stabil, naga ompong, batre boros, dll bnyk bgt;Rozaria Elenore
3;selalu update HP terbaik versi gadgetin tapi baru sekali belinya???? xiaomi note 9 pro yg dulu pernah direkomendasikan di channel ini...;hasby mohammad
4;Kalo Mau spek bagus kendala jaringan . Ambil limbah jepang kalo masalah garansi user Xiaomi 2016san sudah suhu;riyal faisal
5;R.I.P Xiaomi.. #PerbaikiSoftwaremu #MemeUI;Saufi Apriyandi
