No;Text;Author
1;Vivo emang mantap????;Cuky
2;Peningkatan vivo 2x pemenang rekomendasi;Admiralz Adin
3;Bang review hp vivo y91i dong Hp saking jeleknya najis kek hp gw. Sumpah hp paling jelek ini jijik bngt gw punya hp vivo;Si Oren
4;Bismillah, CO di toko oren Vivo T1 5G rekomendasi bang David, selama 2 bulan bingung beli hp apa, dan nemu video ini langsung tancap gas sambil berdo'a biar membawa keberkahan dan kesejahteraan aamiin;Ranti SRn
5;@Dany  Ya bandingin chipset, ram, kamera, sama frekuensi layar aja bro. kalo sama Xiaomi redmi note 10 pro, vivo T1 speknya sudah lebih tinggi dari 7+ . tapi kalo soal ke-awetan gw kurang tau ya.;RNG is the way
